5, 15920, 'words_alpha.txt', reuse, 0.06
5, 15920, 'words_alpha.txt', reuse, 0.16
5, 15920, 'words_alpha.txt', reuse, 2.18
5, 9972, 'None', reuse, 0.91
5, 9972, 'None', reuse, 0.19
5, 15920, 'words_alpha.txt', reuse, 1.56
5, 9972, 'None', reuse, 0.71
5, 15920, 'words_alpha.txt', reuse, 0.82
5, 9972, 'None', reuse, 1.49
5, 9972, 'None', reuse, 0.05
6, 29874, 'words_alpha.txt', reuse, 5.88
6, 17464, 'None', reuse, 1.72
6, 17464, 'None', reuse, 3.76
6, 29874, 'words_alpha.txt', reuse, 17.16
6, 29874, 'words_alpha.txt', reuse, 0.29
6, 17464, 'None', reuse, 26.40
6, 17464, 'None', reuse, 2.06
6, 17464, 'None', reuse, 5.74
6, 29874, 'words_alpha.txt', reuse, 38.77
6, 29874, 'words_alpha.txt', reuse, 5.24
6, 29874, 'words_alpha.txt', reuse, 0.86
6, 29874, 'words_alpha.txt', reuse, 8.06
6, 29874, 'words_alpha.txt', reuse, 2.44
6, 29874, 'words_alpha.txt', reuse, 19.59
6, 17464, 'nltk', reuse, 32.78
6, 29874, 'words_alpha.txt', reuse, 2.87
6, 17464, 'nltk', reuse, 17.21
6, 17464,'nltk',reuse,26.74
6, 17464,'nltk',reuse,26.64
6, 17464,'nltk',reuse,3.35
4, 4995,'wlist_match1.txt',reuse,0.08
4, 4995,'wlist_match1.txt',reuse,0.02
4, 4995,'wlist_match1.txt',reuse,0.04
4, 4995,'wlist_match1.txt',reuse,0.01
4, 4995,'wlist_match1.txt',reuse,0.04
5, 9972,'wlist_match1.txt',reuse,0.11
5, 9972,'wlist_match1.txt',reuse,0.89
5, 9972,'wlist_match1.txt',reuse,0.04
5, 9972,'wlist_match1.txt',reuse,0.18
5, 9972,'wlist_match1.txt',reuse,0.58
6, 17464,'wlist_match1.txt',reuse,16.15
6, 17464,'wlist_match1.txt',reuse,0.28
6, 17464,'wlist_match1.txt',reuse,7.61
6, 17464,'wlist_match1.txt',reuse,29.26
6, 17464,'wlist_match1.txt',reuse,4.31
7, 1468,'words_alpha_2.txt',reuse,215.19
7, 41998,'words_alpha.txt',reuse,592.44
7, 23714,'wlist_match1.txt',reuse,122.65
7, 43998,'ridyhew/MASTER',reuse,205.85
7, 41998,'words_alpha.txt',reuse,381.57
6, 27683,'ridyhew/MASTER',reuse,0.63
6, 27683,'ridyhew/MASTER',reuse,117.62
6, 27683,'ridyhew/MASTER',reuse,12.66
6, 27683,'ridyhew/MASTER',reuse,62.38
6, 27683,'ridyhew/MASTER',reuse,34.63
6, 27683,'ridyhew/MASTER',reuse,6.52
6, 27683,'ridyhew/MASTER',reuse,51.71
6, 27683,'ridyhew/MASTER',reuse,23.81
6, 27683,'ridyhew/MASTER',reuse,4.53
6, 27683,'ridyhew/MASTER',reuse,95.16
6, 27683,'ridyhew/MASTER',reuse,139.77
6, 27683,'ridyhew/MASTER',reuse,20.81
6, 27683,'ridyhew/MASTER',reuse,12.16
6, 27683,'ridyhew/MASTER',reuse,47.92
6, 27683,'ridyhew/MASTER',reuse,11.38
7, 43998,'ridyhew/MASTER',reuse,1419.39
7, 43998,'ridyhew/MASTER',reuse,110.42
7, 43998,'ridyhew/MASTER',reuse,217.19
7, 43998,'ridyhew/MASTER',reuse,799.30
7, 43998,'ridyhew/MASTER',reuse,312.21
4, 6077,'ridyhew/MASTER',reuse,0.18
4, 6077,'ridyhew/MASTER',reuse,0.02
4, 6077,'ridyhew/MASTER',reuse,0.02
4, 6077,'ridyhew/MASTER',reuse,0.02
4, 6077,'ridyhew/MASTER',reuse,0.02
4, 4995,'nltk',reuse,0.01
6, 17464,'x',reuse,50.77
7, 23714,'x',reuse,741.53
7, 23714,'x',reuse,519.55
5, 9972,'x',reuse,0.32
4, 4995,'nltk',unigue,5.13
5, 9972,'nltk',reuse,0.16
6, 17464,'nltk',reuse,0.70
5, 4384,'nouns.txt',reuse,0.04
6, 6308,'nouns.txt',reuse,5.24
6, 6308,'nouns.txt',reuse,1.81
7, 23714,'nltk',reuse,226.08
4, 2731,'nouns.txt',reuse,0.01
6, 6308,'nouns.txt',reuse,0.12
4, 7186,'words_alpha.txt',reuse,0.01
6, 29874,'words_alpha.txt',reuse,15.35
7, 41998,'words_alpha.txt',reuse,74.51
4, 10407,'words.txt',reuse,0.01
5, 21953,'words.txt',reuse,0.01
6, 38214,'words.txt',reuse,1.05
7, 50475,'words.txt',reuse,23.89
7, 7549,'nouns.txt',reuse,371.78
4, 7186,'words_alpha.txt',reuse,0.02
6, 29874,'words_alpha.txt',reuse,0.08
4, 7186,'words_alpha.txt',unigue,7.23
4, 7186,'words_alpha.txt',reuse,0.00
4, 7186,'words_alpha.txt',unigue,22.42
